Country,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net financial wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education,Net_Migration ,Positive
Australia,5,1.1,80,13.2,72,63.6,1,33417,57462,20,4.3,82.5,7.3,1.36,52063,94,2.3,85,2.7,502,14.35,91,92,21.2,244875,Positive
Austria,16,1,85,6.78,72,80.7,0.4,32544,59574,21,2.7,81.3,7,1.94,48295,92,1.6,70,1.3,492,14.55,75,93,17.1,45573,Positive
Belgium,15,2.3,75,4.31,62,70.7,1,29968,104084,21,4.8,81.1,6.9,3.98,49587,92,2.2,75,2.2,503,15.77,89,84,18.2,56248,Positive
Brazil,10,6.7,49,7.15,64,37.3,27.6,12227,7102,20,4.9,74.7,6.6,3.37,14024,90,0.8,70,2.2,395,14.45,79,72,15.9,56362,Positive
Canada,7,0.2,91,3.73,73,80.9,1.4,29850,85758,22,3.9,81.5,7.3,0.81,48403,93,2.5,88,3,523,14.41,68,91,16.7,361274,Positive
Chile,16,9.4,65,10.06,62,51.1,4.5,16588,21409,18,8.1,79.1,6.7,2.02,28434,84,1.9,57,1.5,443,14.9,49,69,17.3,214697,Positive
Czechia,20,0.6,93,5.77,72,68.3,0.8,21103,24258,24,1.8,78.7,6.6,1.71,23722,89,1.4,61,2.6,491,15.06,59,87,17.3,2809,Positive
Denmark,9,0.6,81,2.2,75,83,0.7,28950,73543,24,2.3,80.8,7.5,1.35,52580,95,1.9,72,2.1,504,15.87,86,94,19.7,23188,Positive
Estonia,8,6.9,89,2.69,72,67.2,3.1,18665,16967,18,4,77.7,5.6,2.13,23621,90,1.6,51,2.8,524,14.9,64,82,15.8,5329,Positive
Finland,6,0.5,88,3.91,69,82.9,1.4,29374,27972,23,2.7,81.6,7.5,2.33,42127,95,1.9,70,2.3,523,15.17,69,94,19.8,13307,Positive
France,13,0.5,78,7.76,65,69.6,0.6,31137,59479,21,5,82.4,6.4,4.33,42992,88,1.8,68,2.1,496,16.36,75,82,16.5,13175,Positive
Germany,14,0.1,86,4.6,75,75.9,0.4,33652,57358,20,2,80.7,7,1.68,46389,92,1.8,65,2.1,508,15.55,72,93,18.3,430803,Positive
Greece,18,0.5,72,7.3,52,61.8,1,17002,18117,24,17.4,81.1,5.2,16.95,25124,82,1.2,74,1.9,458,14.67,64,69,16.9,25061,Negative
Hungary,19,4.3,83,3.05,67,50.7,1.2,16821,23289,18,4.8,75.7,5.3,2.42,21711,84,1.2,56,1.2,474,15.06,62,76,16.6,18044,Positive
Iceland,3,0,78,15.06,86,87,0.9,30453,64398,24,2.6,82.5,7.5,0.26,55984,98,1.6,76,1.6,481,14.15,79,99,19.3,8316,Positive
Ireland,7,0.1,80,4.66,65,75.5,0.6,25439,43493,21,2.1,81.5,7,4.72,51681,96,2.1,82,0.8,509,15.28,65,82,18.7,29200,Positive
Israel,21,4.4,87,15.04,69,70.2,1.7,24036,61805,20,2.6,82.1,7.2,0.46,34023,87,1.2,84,0.9,472,13.93,72,67,15.8,14518,Positive
Italy,18,0.6,60,3.9,57,58.3,0.8,26063,64019,23,8.1,82.6,5.9,6.82,35397,91,1.4,66,1.5,485,14.89,75,71,16.4,70475,Positive
Japan,14,6.4,94,21.81,74,70.6,0.3,28641,97595,22,1.5,83.9,5.9,1.24,39113,90,1.9,35,1.3,529,14.85,53,86,16.4,164070,Positive
South Korea,28,4.2,87,20.84,66,63.9,1.1,21723,33495,15,2.4,82.1,5.9,0.03,32399,76,1.4,33,2.4,519,14.7,77,78,17.4,3222,Negative
Latvia,11,12.9,89,2.09,69,60.7,6.6,15269,17105,23,6.8,74.6,5.9,3.73,22389,86,1.2,46,2.4,487,13.83,59,77,17.9,9498,Negative
Luxembourg,12,0,79,3.76,66,72,0.6,41317,74141,20,3.2,82.4,6.9,1.9,62636,92,2,70,1.5,483,15.15,91,85,15.1,9563,Positive
Mexico,16,4.2,37,29.48,61,45.9,17.9,13891,4750,21,4.6,75,6.6,0.08,15311,80,1,66,3.5,416,12.74,63,67,14.8,12438,Negative
Netherlands,14,0,77,0.45,75,81.2,0.6,28783,90002,20,2.1,81.6,7.4,2.56,52833,90,1.9,76,1.3,508,15.9,82,93,18.7,60585,Positive
New Zealand,5,0.3,77,15.02,76,64.8,1.3,24366,52718,26,4.9,81.7,7.3,0.72,39397,95,2.4,88,2.5,506,14.87,77,90,17.8,48815,Positive
Norway,5,0,82,3.17,74,87.7,0.6,35739,20347,17,2.7,82.4,7.5,0.59,53643,94,2.1,78,1.9,504,15.56,78,96,18.1,21584,Positive
Poland,22,2.7,91,6.68,65,66.3,0.8,18906,14997,23,4.3,77.6,6,2.14,25921,89,1.1,58,2.6,504,14.42,55,80,17.7,1983,Negative
Portugal,10,1,47,8.2,65,72.1,1,20519,31877,21,6.5,81.2,5.2,6.14,24529,87,1.7,46,1.2,497,14.89,56,87,17.1,5244,Positive
Russia,15,13.8,95,0.16,70,52.2,11.3,16657,2260,19,3.6,71.3,6,1.64,22101,90,1,43,0.8,492,14.9,65,54,16.1,350105,Positive
Slovakia,21,1.4,92,5.04,65,60.1,0.8,20265,10846,24,6.7,76.7,6.1,5.46,23508,91,1.1,66,2.9,463,15.01,60,82,15.9,3542,Positive
Slovenia,16,0.3,87,4.46,66,84.7,0.6,20505,20048,18,4,80.9,5.8,4.26,34965,91,1.5,65,2.8,509,14.75,52,89,18.1,7460,Positive
South Africa,22,37,43,18.68,43,36.1,10,10872,17042,18,26.5,57.4,4.8,15.57,11554,88,0.7,67,1.6,391,14.73,73,69,15.3,10681,Negative
Spain,11,0.1,58,4.55,60,83.1,0.6,23129,35443,22,17.3,83,6.4,9.49,37333,95,1.9,72,1.6,491,15.93,70,73,17.9,167475,Positive
Sweden,6,0,83,1.11,76,75.9,1,30553,90708,20,5.7,82.3,7.3,1.17,42816,92,1.8,80,2,496,15.18,86,95,19.2,80765,Positive
Switzerland,15,0,87,6.91,80,84,0.5,36378,128415,21,1.8,83,7.5,1.94,60124,94,1.9,80,2.6,506,15.02,49,96,17.5,45208,Positive
Türkiye,20,6.5,39,33.77,51,60.6,1.7,17067,4429,20,13,78,5.5,2.24,22848,86,1,66,2.1,425,12.59,85,63,17.9,252010,Negative
United Kingdom,11,0.4,81,12.68,74,77.4,0.2,28408,83405,24,2.6,81,6.7,1.32,42835,93,2,70,2.9,500,14.92,69,85,16.8,239014,Positive
United States of America,10,0.1,90,11.45,69,74.1,4.9,44049,176076,18,3.8,78.8,6.9,0.65,60154,90,2.4,88,3.2,488,14.44,68,84,17.1,1377630,Positive
